"student_id";"name";"gender";"age";"department";"city";"grade";"admission_date"
1;"Amaka";"Male";20;"Arts";"Kano";"A";"2022-10-13"
2;"Amaka";"Unknown";20;"Law";"Abuja";"D";"2024-05-14"
3;"Chinedu";"Male";18;"Science";"Kano";"D";"2025-05-17"
4;"Chinedu";"Unknown";19;"Medicine";"Benin";"A";"2024-07-08"
5;"Emeka";"Female";18;"Not Specified";"Enugu";"F";"2024-05-15"
6;"Ifeanyi";"Female";19;"Science";"Port Harcourt";"Not Specified";"2022-07-09"
7;"Ada";"Male";20;"Not Specified";"Port Harcourt";"D";"2023-06-26"
8;"Chinedu";"Unknown";21;"Law";"Abuja";"C";"2022-06-11"
9;"Uche";"Female";20;"Law";"Port Harcourt";"D";"2023-01-29"
10;"Amaka";"Male";20;"Science";"Ibadan";"Not Specified";"2023-04-22"
11;"Amaka";"Female";20;"Business";"Port Harcourt";"A";"2024-01-29"
12;"Ifeanyi";"Male";20;"Arts";"Abuja";"D";"2025-07-24"
13;"Bola";"Unknown";20;"Science";"Enugu";"C";"2024-02-17"
14;"John";"Unknown";20;"Law";"Kano";"F";"2023-10-27"
15;"Chinedu";"Male";18;"Not Specified";"Port Harcourt";"C";"2023-07-03"
16;"Amaka";"Male";22;"Medicine";"Port Harcourt";"A";"2025-09-04"
17;"Chioma";"Female";20;"Business";"Enugu";"B";"2022-10-13"
18;"Ngozi";"Unknown";22;"Law";"Ibadan";"F";"2025-04-12"
19;"Ada";"Unknown";21;"Arts";"Kano";"A";"2024-11-09"
20;"Chioma";"Male";18;"Not Specified";"Abuja";"A";"2025-07-09"
21;"Bola";"Unknown";21;"Law";"Abuja";"C";"2024-02-21"
22;"Emeka";"Female";22;"Arts";"Lagos";"F";"2022-08-23"
23;"Uche";"Female";20;"Arts";"Abuja";"B";"2024-06-09"
24;"Bola";"Female";18;"Medicine";"Ibadan";"D";"2023-01-01"
25;"Uche";"Male";20;"Arts";"Kano";"A";"2024-02-05"
26;"Bola";"Unknown";22;"Engineering";"Port Harcourt";"C";"2022-02-09"
27;"Amaka";"Female";20;"Science";"Lagos";"A";"2025-03-07"
28;"Amaka";"Male";20;"Business";"Abuja";"D";"2022-09-15"
29;"Bola";"Unknown";21;"Law";"Enugu";"B";"2024-12-16"
30;"Emeka";"Female";19;"Law";"Kano";"F";"2023-10-01"
31;"Ada";"Unknown";20;"Arts";"Not Specified";"D";"2024-07-13"
32;"Amaka";"Male";19;"Engineering";"Port Harcourt";"Not Specified";"2025-04-19"
33;"Uche";"Male";22;"Science";"Lagos";"Not Specified";"2025-12-20"
34;"Chinedu";"Male";18;"Engineering";"Port Harcourt";"Not Specified";"2024-11-18"
35;"Ngozi";"Female";20;"Business";"Kano";"D";"2022-09-28"
36;"Emeka";"Unknown";21;"Science";"Not Specified";"C";"2023-01-25"
37;"Amaka";"Male";20;"Business";"Port Harcourt";"C";"2024-04-21"
38;"Chioma";"Unknown";18;"Medicine";"Abuja";"Not Specified";"2024-04-04"
39;"Ifeanyi";"Male";19;"Science";"Kano";"D";"2024-07-07"
40;"Bola";"Female";19;"Arts";"Not Specified";"A";"2022-06-04"
41;"Chioma";"Unknown";18;"Engineering";"Lagos";"Not Specified";"2023-04-30"
42;"Bola";"Female";21;"Business";"Kano";"C";"2022-05-01"
43;"Bola";"Female";18;"Business";"Ibadan";"C";"2023-08-08"
44;"Ada";"Unknown";20;"Not Specified";"Not Specified";"A";"2023-01-24"
45;"John";"Male";18;"Law";"Lagos";"F";"2023-10-05"
46;"Chinedu";"Male";22;"Business";"Enugu";"Not Specified";"2024-11-06"
47;"Amaka";"Male";18;"Law";"Abuja";"F";"2023-04-27"
48;"Ada";"Male";22;"Science";"Lagos";"D";"2022-06-17"
49;"Ada";"Unknown";22;"Law";"Port Harcourt";"B";"2023-02-23"
50;"Ifeanyi";"Male";20;"Business";"Enugu";"F";"2025-08-14"
